index,NCT,Sponsor,Start_Year,Start_Month,Phase,Enrollment,Status,Condition
37,NCT00053508,Sanofi,2002,9,Phase 2,274,Terminated,Smallpox
38,NCT00053573,Sanofi,2003,2,Phase 1/Phase 2,20,Completed,Glycogen Storage Disease Type II
39,NCT00059280,Sanofi,2003,4,Phase 2/Phase 3,16,Completed,Glycogen Storage Disease Type II
40,NCT00059722,Sanofi,2003,5,Phase 2,160,Completed,"Carcinoma, Non-Small-Cell Lung"
41,NCT00062803,Sanofi,2003,6,Phase 3,0,Completed,Pulmonary Embolism
42,NCT00066313,Sanofi,2003,5,Phase 2,0,Completed,Small Cell Lung Carcinoma
43,NCT00067093,Sanofi,2003,5,Phase 3,1452,Completed,Thrombosis
44,NCT00068211,Sanofi,2003,8,Phase 2,0,Completed,Melanoma
45,NCT00069784,Sanofi,2003,8,Phase 3,12537,Completed,Diabetes Mellitus
46,NCT00069862,Sanofi,2003,9,Phase 1/Phase 2,25,Completed,beta-Thalassemia
47,NCT00070655,Sanofi,2003,9,Phase 3,4673,Completed,Atrial Fibrillation
48,NCT00071188,Sanofi,2004,2,Phase 2,0,Completed,"Carcinoma, Non-Small-Cell Lung"
49,NCT00071279,Sanofi,2003,11,Phase 3,1215,Completed,Pulmonary Embolism
50,NCT00074932,Sanofi,2004,11,,9,Completed,Glycogen Storage Disease Type II
51,NCT00074958,Sanofi,2002,10,Phase 2,16,Completed,Fabry Disease
52,NCT00074971,Sanofi,1999,10,Phase 3,58,Completed,Fabry Disease
53,NCT00074984,Sanofi,2001,2,Phase 4,82,Completed,Fabry Disease
54,NCT00077753,Sanofi,2002,2,Phase 4,4726,Completed,Venous Thromboembolism
55,NCT00077792,Sanofi,2002,10,Phase 3,20506,Completed,Myocardial Infarction
56,NCT00077805,Sanofi,2003,8,Phase 4,0,Completed,Stroke
57,NCT00077818,Sanofi,2002,6,Phase 4,0,Completed,Acute Coronary Syndrome
58,NCT00077961,Sanofi,2003,12,Phase 1/Phase 2,49,Terminated,"Lymphoma, Non-Hodgkin"
59,NCT00078026,Sanofi,2003,8,Phase 1/Phase 2,60,Terminated,Osteoporosis
60,NCT00078455,Sanofi,2003,12,Phase 2,0,Completed,"Carcinoma, Non-Small-Cell Lung"
61,NCT00079820,Sanofi,2004,4,Phase 1,110,Completed,Smallpox
62,NCT00081497,Sanofi,2004,1,Phase 4,67,Completed,Fabry Disease
63,NCT00081796,Sanofi,2004,4,Phase 3,438,Completed,Breast Neoplasms
64,NCT00081900,Sanofi,2004,3,Phase 1/Phase 2,38,Terminated,"Carcinoma, Hepatocellular"
65,NCT00086580,Sanofi,2004,7,Phase 3,335,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell"
66,NCT00087802,Sanofi,2004,3,Phase 3,383,Completed,"Carcinoma, Non-Small-Cell Lung"
67,NCT00087958,Sanofi,2004,8,Phase 2,168,Completed,Breast Neoplasms
68,NCT00088543,Sanofi,2004,3,,60,Completed,Graft vs Host Disease
69,NCT00093275,Sanofi,2004,10,Phase 2,262,Completed,Spinal Cord Injuries
70,NCT00094081,Sanofi,2002,10,Phase 3,861,Completed,Head and Neck Neoplasms
71,NCT00094965,Sanofi,2004,9,Phase 2,43,Completed,Gastrointestinal Neoplasms
72,NCT00098345,Sanofi,2004,11,Phase 2,40,Completed,Thyroid Diseases
73,NCT00102128,Sanofi,2002,11,Phase 2,0,Terminated,Heart Failure
74,NCT00103610,Sanofi,2005,1,Phase 3,298,Completed,"Lymphoma, Non-Hodgkin"
75,NCT00103649,Sanofi,2003,11,Phase 3,1306,Completed,Alzheimer Disease
76,NCT00103662,Sanofi,2005,1,Phase 3,302,Completed,Multiple Myeloma
77,NCT00104013,Sanofi,2003,11,Phase 3,1455,Completed,Alzheimer Disease
78,NCT00106509,Sanofi,2005,3,Phase 3,520,Completed,Enterocolitis
79,NCT00113048,Sanofi,2003,12,Phase 1,24,Terminated,Neoplasms
80,NCT00115375,Sanofi,2004,1,Phase 2,92,Completed,Blood Platelet Disorders
81,NCT00115570,Sanofi,2005,4,Phase 3,572,Completed,Diabetes Mellitus
82,NCT00117650,Sanofi,2005,2,Phase 2,289,Completed,Intermittent Claudication
83,NCT00117689,Sanofi,2005,4,Phase 2,75,Completed,Liver Diseases
84,NCT00123461,Sanofi,2005,7,Phase 4,70,Completed,"Renal Insufficiency, Chronic"
85,NCT00123565,Sanofi,2004,12,Phase 2,1257,Completed,Coronary Artery Disease
86,NCT00124332,Sanofi,2005,1,Phase 3,839,Completed,Atherosclerosis
87,NCT00125385,Sanofi,2005,7,Phase 1,25,Completed,Idiopathic Pulmonary Fibrosis
88,NCT00125840,Sanofi,2002,8,Phase 1,0,Completed,Leukemia
89,NCT00125879,Sanofi,2005,6,Phase 2/Phase 3,16,Completed,Glycogen Storage Disease Type II
90,NCT00126009,Sanofi,2004,5,Phase 2,120,Completed,Bipolar Disorder
91,NCT00127803,Sanofi,2005,7,Phase 1,50,Completed,Clostridium Infections
92,NCT00129870,Sanofi,2005,2,Phase 4,180,Terminated,Colorectal Neoplasms
93,NCT00130403,Sanofi,2004,3,Phase 4,290,Completed,"Osteoporosis, Postmenopausal"
94,NCT00130468,Sanofi,2004,11,Phase 4,150,Completed,Osteoarthritis
95,NCT00130715,Sanofi,1998,6,,0,Completed,Intestinal Obstruction
96,NCT00131300,Sanofi,2004,4,Phase 3,0,Completed,Osteoarthritis
97,NCT00131326,Sanofi,2003,11,Phase 3,0,Completed,"Osteoarthritis, Hip"
98,NCT00131352,Sanofi,2005,5,Phase 3,253,Completed,"Osteoarthritis, Knee"
99,NCT00131768,Sanofi,2003,11,Phase 3,0,Completed,Osteoarthritis
100,NCT00132925,Sanofi,2003,11,Phase 3,460,Completed,"Rhinitis, Allergic, Perennial"
101,NCT00132938,Sanofi,2004,1,Phase 4,5660,Completed,"Bronchitis, Chronic"
102,NCT00132951,Sanofi,2004,10,Phase 4,2051,Terminated,Respiratory Tract Infections
103,NCT00134563,Sanofi,2004,9,Phase 3,1088,Completed,Multiple Sclerosis
104,NCT00135057,Sanofi,2004,4,Phase 3,281,Completed,"Diabetes Mellitus, Type 2"
105,NCT00135083,Sanofi,2004,8,Phase 3,347,Completed,"Diabetes Mellitus, Type 2"
106,NCT00135096,Sanofi,2004,8,Phase 3,345,Completed,"Diabetes Mellitus, Type 2"
107,NCT00135941,Sanofi,2005,8,Phase 3,582,Completed,Diabetes Mellitus
108,NCT00139295,Sanofi,2004,10,Phase 3,0,Completed,"Osteoarthritis, Knee"
109,NCT00140608,Sanofi,2003,6,,0,Terminated,Sinusitis
110,NCT00140621,Sanofi,2005,7,Phase 4,6,Completed,Fabry Disease
111,NCT00144768,Sanofi,2004,7,Phase 4,25,Completed,Mucopolysaccharidosis I
112,NCT00144781,Sanofi,2004,12,Phase 4,34,Completed,Mucopolysaccharidosis I
113,NCT00146757,Sanofi,2002,10,Phase 2,20,Completed,Mucopolysaccharidosis I
114,NCT00146770,Sanofi,2001,5,Phase 3,45,Completed,Mucopolysaccharidosis I
115,NCT00158600,Sanofi,2005,9,Phase 3,90,Completed,Glycogen Storage Disease Type II
116,NCT00160030,Sanofi,2004,9,Phase 2,97,Completed,Esophageal Neoplasms
117,NCT00174564,Sanofi,2003,4,Phase 2,67,Completed,Biliary Tract Neoplasms
118,NCT00174616,Sanofi,2003,7,Phase 2,87,Completed,Rectal Neoplasms
119,NCT00174629,Sanofi,2001,6,Phase 3,449,Completed,Lung Neoplasms
120,NCT00174642,Sanofi,2004,12,Phase 3,811,Completed,"Diabetes Mellitus, Type 2"
121,NCT00174655,Sanofi,1998,6,Phase 3,2887,Completed,Breast Neoplasms
122,NCT00174668,Sanofi,2004,11,Phase 3,311,Completed,"Diabetes Mellitus, Type 2"
123,NCT00174681,Sanofi,2003,4,Phase 4,390,Completed,"Diabetes Mellitus, Type 2"
124,NCT00174694,Sanofi,2004,11,Phase 4,298,Completed,Sinusitis
125,NCT00174707,Sanofi,1997,12,Phase 3,998,Completed,Breast Neoplasms
126,NCT00174720,Sanofi,2005,9,Phase 3,708,Completed,Asthma
127,NCT00174733,Sanofi,2005,7,Phase 3,456,Completed,Asthma
128,NCT00174746,Sanofi,2005,3,Phase 2,1145,Completed,Asthma
129,NCT00174759,Sanofi,2004,9,Phase 3,1460,Completed,Arterial Occlusive Diseases
130,NCT00174772,Sanofi,2004,3,Phase 2,72,Completed,Lung Neoplasms
131,NCT00174785,Sanofi,2005,6,Phase 3,4628,Completed,Atrial Fibrillation
132,NCT00174798,Sanofi,2005,5,Phase 2,118,Completed,"Urinary Bladder, Overactive"
133,NCT00174811,Sanofi,2005,6,Phase 3,639,Terminated,Otitis Media
134,NCT00174824,Sanofi,2001,6,Phase 4,1024,Completed,"Diabetes Mellitus, Type 2"
135,NCT00174837,Sanofi,2005,4,Phase 3,317,Completed,Head and Neck Neoplasms
136,NCT00174863,Sanofi,2003,10,Phase 2,232,Completed,Prostatic Neoplasms
137,NCT00181597,Sanofi,2004,3,Phase 2,24,Completed,Adenocarcinoma
138,NCT00185445,Sanofi,2004,6,Phase 2,62,Completed,"Lymphoma, Non-Hodgkin"
139,NCT00196716,Sanofi,2003,6,Phase 2,21,Completed,Fabry Disease
140,NCT00196729,Sanofi,2001,12,Phase 3,63,Completed,Thyroid Neoplasms
141,NCT00196755,Sanofi,2004,12,Phase 3,138,Completed,Kidney Diseases
142,NCT00196794,Sanofi,2005,4,Phase 3,520,Completed,Diarrhea
143,NCT00206596,Sanofi,2003,7,Phase 2,127,Completed,Crohn Disease
144,NCT00206661,Sanofi,2004,12,Phase 1/Phase 2,22,Terminated,Crohn Disease
145,NCT00206674,Sanofi,2004,9,Phase 3,286,Completed,Crohn Disease
146,NCT00206700,Sanofi,2003,2,Phase 2,378,Terminated,Crohn Disease
147,NCT00206713,Sanofi,2004,7,Phase 3,264,Terminated,Crohn Disease
148,NCT00206726,Sanofi,2005,5,Phase 2,60,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell"
149,NCT00214461,Sanofi,2005,11,Phase 1,48,Completed,Clostridium Infections
150,NCT00220272,Sanofi,2004,1,Phase 2,183,Completed,Parkinson Disease
151,NCT00220311,Sanofi,2000,11,Phase 4,10,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell"
152,NCT00226460,Sanofi,1997,8,Phase 2,0,Completed,Parkinson Disease
153,NCT00228150,Sanofi,2003,7,Phase 2,564,Completed,Parkinson Disease
154,NCT00228163,Sanofi,2002,1,Phase 2,147,Completed,Multiple Sclerosis
155,NCT00228176,Sanofi,2005,8,Phase 3,661,Terminated,Arteriosclerosis
156,NCT00229736,Sanofi,2004,11,Phase 1,10,Completed,Parkinson Disease
157,NCT00230178,Sanofi,2004,4,Phase 3,280,Completed,Tumor Lysis Syndrome
158,NCT00230217,Sanofi,2004,3,Phase 4,94,Completed,Tumor Lysis Syndrome
159,NCT00230607,Sanofi,2006,5,Phase 4,20,Recruiting,Fabry Disease
160,NCT00232258,Sanofi,2005,4,Phase 2,307,Completed,"Colitis, Ulcerative"
161,NCT00232297,Sanofi,2005,6,Phase 2,153,Completed,"Tachycardia, Ventricular"
162,NCT00232310,Sanofi,2005,10,Phase 2,150,Completed,Atrial Fibrillation
163,NCT00233441,Sanofi,2004,12,Phase 2/Phase 3,673,Completed,Atrial Fibrillation
164,NCT00235300,Sanofi,2000,5,Phase 2,240,Completed,Delayed Graft Function
165,NCT00237445,Sanofi,2005,11,Phase 4,110,Terminated,Pneumonia
166,NCT00239967,Sanofi,2005,5,Phase 3,803,Completed,Dyslipidemias
167,NCT00243178,Sanofi,2003,7,Phase 3,6706,Terminated,Atrial Fibrillation
168,NCT00244257,Sanofi,2005,8,Phase 1,10,Terminated,"Purpura, Thrombocytopenic"
169,NCT00245674,Sanofi,2005,6,Phase 4,300,Completed,Schizophrenia
170,NCT00249795,Sanofi,2003,6,Phase 3,9016,Completed,Atrial Fibrillation
171,NCT00249873,Sanofi,2003,6,Phase 3,7554,Completed,Atrial Fibrillation
172,NCT00250601,Sanofi,2005,4,Phase 3,460,Completed,Depressive Disorder
173,NCT00250614,Sanofi,2005,4,Phase 3,452,Completed,Depressive Disorder
174,NCT00250627,Sanofi,2004,12,Phase 3,465,Completed,Depressive Disorder
175,NCT00250653,Sanofi,2005,5,Phase 3,365,Completed,Depressive Disorder
176,NCT00250939,Sanofi,2005,2,Phase 2,5,Completed,Glycogen Storage Disease Type II
177,NCT00252330,Sanofi,2005,9,Phase 3,476,Completed,Depressive Disorder
178,NCT00252343,Sanofi,2005,9,Phase 3,360,Completed,Anxiety Disorders
179,NCT00252356,Sanofi,2005,9,Phase 3,468,Completed,Depressive Disorder
180,NCT00252746,Sanofi,2004,12,Phase 2,53,Completed,"Carcinoma, Non-Small-Cell Lung"
181,NCT00253903,Sanofi,2005,11,Phase 3,1155,Completed,Sleep Initiation and Maintenance Disorders
182,NCT00253955,Sanofi,2003,6,Phase 3,460,Completed,Pneumonia
183,NCT00253968,Sanofi,2005,11,Phase 3,967,Completed,Sleep Initiation and Maintenance Disorders
184,NCT00254917,Sanofi,2003,10,Phase 4,387,Completed,Diphtheria
185,NCT00254956,Sanofi,2004,1,Phase 3,1568,Completed,Respiratory Tract Diseases
186,NCT00254969,Sanofi,2005,10,Phase 3,212,Completed,Diphtheria
187,NCT00255021,Sanofi,2005,12,Phase 4,186,Completed,Diphtheria
188,NCT00255047,Sanofi,2005,11,Phase 3,2167,Completed,Diphtheria
189,NCT00256113,Sanofi,2004,12,Phase 3,467,Completed,Depressive Disorder
190,NCT00257257,Sanofi,2005,3,Phase 3,281,Completed,Diabetes Mellitus
191,NCT00258011,Sanofi,2005,12,Phase 3,3,Completed,Mucopolysaccharidosis I
192,NCT00258739,Sanofi,2001,10,Phase 2,140,Completed,Lung Neoplasms
193,NCT00258804,Sanofi,2005,5,Phase 4,450,Completed,"Diabetes Mellitus, Type 2"
194,NCT00258817,Sanofi,2005,10,Phase 4,30,Completed,"Influenza, Human"
195,NCT00258830,Sanofi,2005,9,Phase 4,120,Completed,"Influenza, Human"
196,NCT00258843,Sanofi,2005,11,Phase 3,40,Completed,Poliomyelitis
197,NCT00258856,Sanofi,2006,1,Phase 2,234,Completed,Meningitis
198,NCT00258895,Sanofi,2005,3,Phase 3,649,Completed,Diphtheria
199,NCT00258908,Sanofi,2005,11,Phase 3,115,Completed,Diphtheria
200,NCT00258934,Sanofi,2005,9,Phase 2,978,Completed,Orthomyxoviridae Infections
201,NCT00258947,Sanofi,2005,9,Phase 2,230,Completed,Smallpox
202,NCT00259337,Sanofi,2006,2,Phase 3,226,Completed,Tetanus
203,NCT00259363,Sanofi,2002,10,Phase 1/Phase 2,46,Terminated,Rectal Neoplasms
204,NCT00259376,Sanofi,2001,11,Phase 3,629,Completed,Atrial Fibrillation
205,NCT00259402,Sanofi,2000,2,Phase 2,41,Completed,Esophageal Neoplasms
206,NCT00259428,Sanofi,2001,11,Phase 3,615,Completed,Atrial Fibrillation
207,NCT00260351,Sanofi,2004,12,Phase 4,405,Completed,Rabies
208,NCT00261092,Sanofi,2005,10,Phase 2,48,Completed,Pancreatic Neoplasms
209,NCT00261105,Sanofi,2005,2,Phase 4,0,Completed,Respiratory Tract Infections
210,NCT00261703,Sanofi,2002,12,Phase 2/Phase 3,439,Completed,Head and Neck Neoplasms
211,NCT00263003,Sanofi,2005,6,Phase 3,40,Completed,Hypertension
212,NCT00263016,Sanofi,2005,5,Phase 2,50,Terminated,"Carcinoma, Non-Small-Cell Lung"
213,NCT00263029,Sanofi,2002,6,Phase 2,18,Completed,Rectal Neoplasms
214,NCT00263042,Sanofi,2005,12,Phase 3,18695,Terminated,Cardiovascular Diseases
215,NCT00263055,Sanofi,2004,8,Phase 4,0,Completed,Colonic Neoplasms
216,NCT00263354,Sanofi,2003,10,Phase 2,20,Completed,Stomach Neoplasms
217,NCT00264173,Sanofi,2004,2,Phase 4,270,Completed,Bipolar Disorder
218,NCT00264212,Sanofi,2004,8,Phase 4,436,Completed,Hypertension
219,NCT00264914,Sanofi,2005,7,Phase 3,57,Completed,Inappropriate ADH Syndrome
220,NCT00264927,Sanofi,2004,5,Phase 3,77,Completed,Inappropriate ADH Syndrome
221,NCT00265369,Sanofi,2004,5,Phase 3,420,Completed,Diarrhea
222,NCT00265967,Sanofi,2005,9,Phase 4,88,Completed,Hypertension
223,NCT00265993,Sanofi,2004,12,Phase 4,251,Completed,Venous Thrombosis
224,NCT00266747,Sanofi,2005,12,Phase 3,366,Completed,Anxiety Disorders
225,NCT00267319,Sanofi,2003,6,Phase 4,111,Completed,Multiple Sclerosis
226,NCT00267514,Sanofi,2006,1,Phase 3,31,Completed,Kidney Diseases
227,NCT00268619,Sanofi,2004,6,Phase 3,0,Completed,Myocardial Ischemia
228,NCT00268632,Sanofi,1999,8,Phase 3,0,Completed,Osteoporosis
229,NCT00268645,Sanofi,2004,9,Phase 4,534,Completed,"Diabetes Mellitus, Type 2"
230,NCT00268671,Sanofi,2003,8,Phase 1/Phase 2,45,Completed,Head and Neck Neoplasms
231,NCT00268710,Sanofi,2004,2,Phase 2,0,Completed,Prostatic Neoplasms
232,NCT00268944,Sanofi,2005,12,Phase 3,5,Completed,Glycogen Storage Disease Type II
233,NCT00268957,Sanofi,2006,1,Phase 3,217,Completed,Kidney Diseases
234,NCT00269477,Sanofi,2005,12,Phase 2,145,Completed,Meningitis
235,NCT00270348,Sanofi,2000,12,Phase 3,450,Completed,Asthma
236,NCT00271258,Sanofi,2005,1,Phase 3,200,Completed,Bipolar Disorder
237,NCT00271271,Sanofi,2003,6,Phase 2,40,Completed,"Carcinoma, Non-Small-Cell Lung"
238,NCT00271284,Sanofi,2005,10,Phase 3,88,Completed,"Diabetes Mellitus, Type 1"
239,NCT00271323,Sanofi,2005,5,Phase 2,14,Terminated,"Carcinoma, Non-Small-Cell Lung"
240,NCT00272012,Sanofi,2004,7,Phase 3,396,Completed,"Diabetes Mellitus, Type 2"
241,NCT00272051,Sanofi,2002,7,Phase 3,620,Completed,Colorectal Neoplasms
242,NCT00272064,Sanofi,2005,10,Phase 3,352,Completed,"Diabetes Mellitus, Type 2"
243,NCT00272077,Sanofi,2005,4,Phase 4,0,Completed,"Diabetes Mellitus, Type 2"
244,NCT00272090,Sanofi,2002,11,Phase 3,489,Completed,"Diabetes Mellitus, Type 1"
245,NCT00272532,Sanofi,2005,4,Phase 4,65,Completed,Myofascial Pain Syndromes
246,NCT00273520,Sanofi,2003,1,Phase 3,0,Completed,Asthma
247,NCT00273546,Sanofi,1999,5,Phase 3,500,Completed,Head and Neck Neoplasms
248,NCT00274326,Sanofi,2005,5,Phase 3,150,Completed,Heart Failure
249,NCT00275210,Sanofi,1998,10,Phase 3,2246,Completed,Colonic Neoplasms
250,NCT00277511,Sanofi,2003,3,Phase 3,120,Completed,Prostatitis
251,NCT00277589,Sanofi,2004,5,Phase 4,1024,Completed,"Goiter, Nodular"
252,NCT00277602,Sanofi,1999,11,Phase 3,537,Completed,Huntington Disease
253,NCT00280098,Sanofi,2006,1,Phase 4,30,Completed,Prostatic Neoplasms
254,NCT00280605,Sanofi,2005,8,Phase 4,200,Completed,Prostatic Hyperplasia
255,NCT00280618,Sanofi,2004,7,Phase 2,0,Completed,"Carcinoma, Hepatocellular"
256,NCT00280644,Sanofi,2004,4,Phase 4,60,Completed,"Arthritis, Rheumatoid"
257,NCT00282581,Sanofi,2006,10,Phase 1,2,Terminated,HIV Infections
258,NCT00283036,Sanofi,2005,4,Phase 4,200,Completed,Hypertension
259,NCT00283049,Sanofi,2006,2,Phase 4,390,Terminated,"Diabetes Mellitus, Type 2"
260,NCT00283062,Sanofi,2005,12,Phase 3,228,Completed,Prostatic Neoplasms
261,NCT00284128,Sanofi,2005,12,Phase 2/Phase 3,1940,Completed,Hypertension
262,NCT00284141,Sanofi,2006,1,Phase 2,98,Completed,Lung Neoplasms
263,NCT00285025,Sanofi,2005,3,Phase 2,500,Completed,Alzheimer Disease
264,NCT00285077,Sanofi,2004,3,Phase 2,390,Completed,Alzheimer Disease
265,NCT00287092,Sanofi,2006,2,Phase 3,807,Completed,Diphtheria
266,NCT00288223,Sanofi,2006,1,Phase 4,54,Terminated,"Bronchitis, Chronic"
267,NCT00288236,Sanofi,2006,1,Phase 3,368,Completed,Diabetes Mellitus
268,NCT00290030,Sanofi,2001,5,Phase 3,800,Completed,Prostatic Hyperplasia
269,NCT00290043,Sanofi,2001,12,Phase 1,20,Completed,"Diabetes Mellitus, Type 1"
270,NCT00290927,Sanofi,2003,12,Phase 3,390,Completed,"Diabetes Mellitus, Type 2"
271,NCT00290953,Sanofi,2002,10,Phase 2/Phase 3,432,Completed,Small Cell Lung Carcinoma
272,NCT00290966,Sanofi,1998,10,Phase 2/Phase 3,610,Completed,Stomach Neoplasms
273,NCT00290979,Sanofi,2004,12,Phase 3,250,Completed,"Diabetes Mellitus, Type 1"
274,NCT00290992,Sanofi,2005,6,Phase 2,30,Completed,Metabolic Diseases
275,NCT00291005,Sanofi,2004,8,Phase 2,42,Completed,Prostatic Neoplasms
276,NCT00292734,Sanofi,2005,1,Phase 4,120,Completed,Sleep Initiation and Maintenance Disorders
277,NCT00292747,Sanofi,2005,5,Phase 4,480,Terminated,Dysmenorrhea
278,NCT00295165,Sanofi,2006,1,Phase 3,33,Terminated,Crohn Disease
279,NCT00295763,Sanofi,2006,5,Phase 3,61,Completed,Thyroid Diseases
280,NCT00296179,Sanofi,2006,2,Phase 4,372,Completed,Sleep Initiation and Maintenance Disorders
281,NCT00296218,Sanofi,2006,2,Phase 3,440,Completed,Ischemia
282,NCT00296790,Sanofi,2006,2,Phase 4,372,Completed,Sleep Initiation and Maintenance Disorders
283,NCT00296803,Sanofi,2005,11,Phase 4,216,Completed,Metabolic Syndrome X
284,NCT00296829,Sanofi,2006,1,Phase 2,1080,Completed,Infection
285,NCT00297583,Sanofi,2004,4,Phase 1,0,Completed,"Diabetes Mellitus, Type 1"
286,NCT00299325,Sanofi,2006,2,Phase 3,254,Completed,Metabolic Syndrome X
287,NCT00299871,Sanofi,2006,2,Phase 2,542,Completed,"Diabetes Mellitus, Type 2"
288,NCT00300339,Sanofi,2006,2,Phase 2,599,Completed,Intermittent Claudication
289,NCT00302653,Sanofi,2006,2,Phase 4,33,Completed,Hyperuricemia
290,NCT00303056,Sanofi,2006,2,Phase 2,590,Completed,Joint Diseases
291,NCT00303316,Sanofi,2006,2,Phase 3,458,Completed,Poliomyelitis
292,NCT00304265,Sanofi,2006,3,Phase 4,215,Completed,Diphtheria
293,NCT00305188,Sanofi,2005,12,Phase 3,879,Completed,Colorectal Neoplasms
294,NCT00308087,Sanofi,2006,5,Phase 2,75,Terminated,"Lymphoma, Follicular"
295,NCT00308503,Sanofi,2006,2,Phase 3,608,Completed,Sleep Initiation and Maintenance Disorders
296,NCT00310297,Sanofi,2004,11,Phase 1,0,Completed,Diabetes Mellitus
297,NCT00311077,Sanofi,2004,4,Phase 1,0,Completed,Diabetes Mellitus
298,NCT00311090,Sanofi,2006,4,Phase 3,757,Completed,Venous Thrombosis
299,NCT00311129,Sanofi,2005,12,Phase 2,41,Completed,Lymphoma
300,NCT00311818,Sanofi,2003,6,Phase 4,0,Completed,"Diabetes Mellitus, Type 2"
301,NCT00312208,Sanofi,2001,11,Phase 3,3299,Completed,Breast Neoplasms
302,NCT00312377,Sanofi,2006,5,Phase 3,1690,Completed,Lung Neoplasms
303,NCT00312767,Sanofi,2006,4,Phase 4,0,Withdrawn,Fabry Disease
304,NCT00313885,Sanofi,2004,4,Phase 2,205,Completed,Fibromyalgia
305,NCT00313911,Sanofi,2006,7,Phase 3,2133,Completed,Hepatitis B
306,NCT00313937,Sanofi,2001,11,Phase 4,91,Completed,"Diabetes Mellitus, Type 1"
307,NCT00313950,Sanofi,2006,9,Phase 4,470,Completed,Rubella
308,NCT00314132,Sanofi,2005,10,Phase 3,2004,Completed,Encephalitis
309,NCT00314145,Sanofi,2005,11,Phase 3,820,Completed,"Encephalitis, Japanese"
310,NCT00315003,Sanofi,2006,1,Phase 3,1500,Terminated,"Otitis Media, Suppurative"
311,NCT00315042,Sanofi,2006,3,Phase 3,314,Terminated,Tonsillitis
312,NCT00315055,Sanofi,2006,7,Phase 3,310,Completed,Hepatitis B
313,NCT00315549,Sanofi,2006,2,Phase 3,233,Terminated,Tonsillitis
